model	omega	E_kin	E_pot	U	eb1_1	eb2_1	eb3_1	eb4_1	mu	t	tb1_1	tb2_1	tb3_1	tb4_1	ave_mu	ave_t	ave_U_1	ave_eb1_1	ave_eb2_1	ave_eb3_1	ave_eb4_1	ave_mu_1	ave_t_1	ave_tb1_1	ave_tb2_1	ave_tb3_1	ave_tb4_1	E0_1	sector_1	n_1	githash	version	omegaH	script	time	
2L_4b_gen	0.55587588	-1.0007762	0.086574373	4	0.4968492	-0.23482738	0.50095428	-0.23495733	1.2	1	0.32253494	0.337765	0.32297766	0.33807065	0.89044284	-1.0007762	nan	nan	nan	nan	nan	0.93499928	-0.64200597	nan	nan	nan	nan	-4.6302279	R0:N6:S0:1	0.93499928	20a4d9d	v2.1.5	0.55587588	general_bath_1D.py	2023-07-26@10:51
2L_4b_gen	0.52250423	-1.0026984	0.93343829	4	0.4591237	-0.21837573	0.45900618	-0.21704076	1.2	1	0.31831229	0.33187677	0.31804834	0.33165732	0.89284254	-1.0026984	nan	nan	nan	nan	nan	0.92953117	-0.63974852	nan	nan	nan	nan	-4.5612565	R0:N6:S0:1	0.92953117	20a4d9d	v2.1.5	0.52250423	general_bath_1D.py	2023-07-26@10:51
2L_4b_gen	0.55417741	-1.0035056	-0.36855665	4	0.45822546	-0.23222626	0.46411545	-0.23233038	1.2	1	0.31647684	0.33642347	0.31714557	0.33684615	0.90158908	-1.0035056	nan	nan	nan	nan	nan	0.94039997	-0.6404571	nan	nan	nan	nan	-4.6135236	R0:N6:S0:1	0.94039997	20a4d9d	v2.1.5	0.55417741	general_bath_1D.py	2023-07-26@10:51
2L_4b_gen	0.54954758	-1.0045702	0.47869391	4	0.51841223	-0.23301294	0.52760076	-0.23413823	1.2	1	0.31674897	0.34606902	0.31790937	0.34681569	0.89021816	-1.0045702	nan	nan	nan	nan	nan	0.95333231	-0.65562493	nan	nan	nan	nan	-4.6108873	R0:N6:S0:1	0.95333231	20a4d9d	v2.1.5	0.54954758	general_bath_1D.py	2023-07-26@10:52
2L_4b_gen	0.495577	-0.99779206	-2.3096189	4	0.32489055	-0.20714878	0.30697878	-0.20581658	1.2	1	0.28532018	0.33399617	0.28236304	0.3328782	0.89894447	-0.99779206	nan	nan	nan	nan	nan	0.91926667	-0.6183615	nan	nan	nan	nan	-4.5068222	R0:N6:S0:1	0.91926667	20a4d9d	v2.1.5	0.495577	general_bath_1D.py	2023-07-26@10:52
2L_4b_gen	0.61176264	-0.99843259	1.3920825	4	0.49152152	-0.25831046	0.49240143	-0.25830008	1.2	1	0.33006915	0.34005708	0.33016089	0.34012241	0.89711182	-0.99843259	nan	nan	nan	nan	nan	0.93633505	-0.63345131	nan	nan	nan	nan	-4.7391103	R0:N6:S0:1	0.93633505	20a4d9d	v2.1.5	0.61176264	general_bath_1D.py	2023-07-26@10:53
2L_4b_gen	0.5583237	-1.0070483	0.34024196	4	0.46892055	-0.23370106	0.4734439	-0.23384775	1.2	1	0.31723109	0.3425895	0.31774563	0.34292412	0.8919695	-1.0070483	nan	nan	nan	nan	nan	0.93486658	-0.63936192	nan	nan	nan	nan	-4.6254664	R0:N6:S0:1	0.93486658	20a4d9d	v2.1.5	0.5583237	general_bath_1D.py	2023-07-26@10:53
2L_4b_gen	0.54355067	-0.99912851	-0.73778583	4	0.45633324	-0.22537548	0.46244372	-0.2249082	1.2	1	0.31935578	0.33968642	0.31993703	0.34004386	0.89099588	-0.99912851	nan	nan	nan	nan	nan	0.93166769	-0.6306717	nan	nan	nan	nan	-4.6055717	R0:N6:S0:1	0.93166769	20a4d9d	v2.1.5	0.54355067	general_bath_1D.py	2023-07-26@10:53
2L_4b_gen	0.53843517	-1.0010273	-1.2794899	4	0.47061446	-0.22438004	0.47246641	-0.2233151	1.2	1	0.31905523	0.33954096	0.31904473	0.33950117	0.89727557	-1.0010273	nan	nan	nan	nan	nan	0.93739871	-0.63710709	nan	nan	nan	nan	-4.590289	R0:N6:S0:1	0.93739871	20a4d9d	v2.1.5	0.53843517	general_bath_1D.py	2023-07-26@10:54
2L_4b_gen	0.54906085	-0.99019011	0.4900566	4	0.45967228	-0.23123235	0.46290437	-0.230833	1.2	1	0.31659803	0.33733677	0.31688094	0.33749644	0.88973889	-0.99019011	nan	nan	nan	nan	nan	0.92814419	-0.6246832	nan	nan	nan	nan	-4.617088	R0:N6:S0:1	0.92814419	20a4d9d	v2.1.5	0.54906085	general_bath_1D.py	2023-07-26@10:54
2L_4b_gen	0.53160284	-0.99190017	-1.4345724	4	0.42200838	-0.22040785	0.42316944	-0.21977556	1.2	1	0.32066098	0.32488834	0.32067008	0.32488684	0.9012085	-0.99190017	nan	nan	nan	nan	nan	0.92726734	-0.62065942	nan	nan	nan	nan	-4.5788368	R0:N6:S0:1	0.92726734	20a4d9d	v2.1.5	0.53160284	general_bath_1D.py	2023-07-26@10:55
2L_4b_gen	0.53404406	-0.99334182	0.52146348	4	0.42200838	-0.22040785	0.42316944	-0.21977556	1.3	1	0.32066098	0.32488834	0.32067008	0.32488684	0.96225502	-0.99334182	nan	nan	nan	nan	nan	0.94820133	-0.63124004	nan	nan	nan	nan	-4.765301	R0:N6:S0:1	0.94820133	20a4d9d	v2.1.5	0.53404406	general_bath_1D.py	2023-07-26@10:55
2L_4b_gen	0.86777884	-0.98778584	0.38271368	4	0.86358053	-0.38247886	0.86353782	-0.38232216	1.3	1	0.35895925	0.38456032	0.35892939	0.38452932	0.94236243	-0.98778584	nan	nan	nan	nan	nan	0.9611335	-0.65904441	nan	nan	nan	nan	-5.4275974	R0:N6:S0:1	0.9611335	20a4d9d	v2.1.5	0.86777884	general_bath_1D.py	2023-07-26@10:55
2L_4b_gen	0.82580346	-0.98509966	0.36508198	4	0.89808418	-0.36827359	0.89754413	-0.36801977	1.3	1	0.35119557	0.37939478	0.35111042	0.37932681	0.9286296	-0.98509966	nan	nan	nan	nan	nan	0.98026663	-0.66885057	nan	nan	nan	nan	-5.3377181	R0:N6:S0:1	0.98026663	20a4d9d	v2.1.5	0.82580346	general_bath_1D.py	2023-07-26@10:56
2L_4b_gen	0.68309152	-0.99143772	2.0673315	4	0.80731634	-0.30235157	0.80815175	-0.30322432	1.3	1	0.32775709	0.3684339	0.32801172	0.36861607	0.92198945	-0.99143772	nan	nan	nan	nan	nan	0.96546968	-0.67386761	nan	nan	nan	nan	-5.0595625	R0:N6:S0:1	0.96546968	20a4d9d	v2.1.5	0.68309152	general_bath_1D.py	2023-07-26@10:56
2L_4b_gen	0.68469003	-0.97802322	3.0254295	4	0.83043171	-0.30286434	0.82993355	-0.30343329	1.3	1	0.33873728	0.35991292	0.33882509	0.35997811	0.93474526	-0.97802322	nan	nan	nan	nan	nan	0.98539699	-0.6666848	nan	nan	nan	nan	-5.0598098	R0:N6:S0:1	0.98539699	20a4d9d	v2.1.5	0.68469003	general_bath_1D.py	2023-07-26@10:57
2L_4b_gen	0.6739547	-0.98841279	0.78914445	4	0.81386343	-0.30379293	0.81541346	-0.30477277	1.3	1	0.31983591	0.36991137	0.32017648	0.370141	0.90967874	-0.98841279	nan	nan	nan	nan	nan	0.99008524	-0.678053	nan	nan	nan	nan	-5.034853	R0:N6:S0:1	0.99008524	20a4d9d	v2.1.5	0.6739547	general_bath_1D.py	2023-07-26@10:57
2L_4b_gen	0.53396298	-1.0013787	-0.52286728	4	0.38711773	-0.23283812	0.38900612	-0.2314218	1.3	1	0.27690381	0.34332708	0.27683764	0.34323032	0.91033328	-1.0013787	nan	nan	nan	nan	nan	0.94906686	-0.64242686	nan	nan	nan	nan	-4.763289	R0:N6:S0:1	0.94906686	20a4d9d	v2.1.5	0.53396298	general_bath_1D.py	2023-07-26@10:57
2L_4b_gen	0.54691289	-0.99495555	0.13355068	4	0.4937269	-0.22910342	0.50027102	-0.23006897	1.3	1	0.31568419	0.3388901	0.31655105	0.33947494	0.92606591	-0.99495555	nan	nan	nan	nan	nan	0.95146583	-0.6404177	nan	nan	nan	nan	-4.7888183	R0:N6:S0:1	0.95146583	20a4d9d	v2.1.5	0.54691289	general_bath_1D.py	2023-07-26@10:58
2L_4b_gen	0.66850081	-0.98823986	0.46940525	4	0.6915027	-0.28963131	0.69054797	-0.29001097	1.3	1	0.33785997	0.3577033	0.33786586	0.35770632	0.91881712	-0.98823986	nan	nan	nan	nan	nan	0.96106887	-0.65297686	nan	nan	nan	nan	-5.0267265	R0:N6:S0:1	0.96106887	20a4d9d	v2.1.5	0.66850081	general_bath_1D.py	2023-07-26@10:58
2L_4b_gen	0.63248004	-0.99501399	-7.155681	4	0.70678468	-0.27682105	0.70772761	-0.27773816	1.3	1	0.33269183	0.35483229	0.33294625	0.35504085	0.90570147	-0.99501399	nan	nan	nan	nan	nan	0.96665524	-0.67262916	nan	nan	nan	nan	-4.9412421	R0:N6:S0:1	0.96665524	20a4d9d	v2.1.5	0.63248004	general_bath_1D.py	2023-07-26@10:59
2L_4b_gen	0.56473149	-1.0092396	0.31163693	4	0.48398664	-0.24564455	0.49042835	-0.24489603	1.3	1	0.29744794	0.34377186	0.29806893	0.3439597	0.92091853	-1.0092396	nan	nan	nan	nan	nan	0.9527967	-0.6585047	nan	nan	nan	nan	-4.8157825	R0:N6:S0:1	0.9527967	20a4d9d	v2.1.5	0.56473149	general_bath_1D.py	2023-07-26@10:59
2L_4b_gen	0.66964551	-0.99660853	0.35604012	4	0.60304433	-0.28993349	0.60210003	-0.290569	1.3	1	0.33039845	0.35377865	0.33042854	0.35381859	0.91550751	-0.99660853	nan	nan	nan	nan	nan	0.95653322	-0.65191641	nan	nan	nan	nan	-5.0301998	R0:N6:S0:1	0.95653322	20a4d9d	v2.1.5	0.66964551	general_bath_1D.py	2023-07-26@10:59
2L_4b_gen	0.62347638	-0.96101632	0.68317148	4	0.62608977	-0.26674236	0.62843247	-0.26782802	1.3	1	0.32783871	0.35240264	0.328261	0.35272258	0.94027218	-0.96101632	nan	nan	nan	nan	nan	0.92966429	-0.62024411	nan	nan	nan	nan	-4.9428046	R0:N6:S0:1	0.92966429	20a4d9d	v2.1.5	0.62347638	general_bath_1D.py	2023-07-26@11:00
2L_4b_gen	0.94332278	-0.98846876	-0.073652264	4	0.95555277	-0.42065637	0.95556737	-0.42064492	1.3	1	0.38242148	0.37678206	0.38241973	0.37677896	0.92516421	-0.98846876	nan	nan	nan	nan	nan	0.97206673	-0.66881827	nan	nan	nan	nan	-5.5750142	R0:N6:S0:1	0.97206673	20a4d9d	v2.1.5	0.94332278	general_bath_1D.py	2023-07-26@11:00
2L_4b_gen	0.67362271	-1.0050704	0.59175644	4	0.78630347	-0.29735573	0.78778379	-0.29815196	1.3	1	0.33097565	0.36255432	0.33124857	0.36275715	0.92509744	-1.0050704	nan	nan	nan	nan	nan	0.97366571	-0.68494838	nan	nan	nan	nan	-5.0375808	R0:N6:S0:1	0.97366571	20a4d9d	v2.1.5	0.67362271	general_bath_1D.py	2023-07-26@11:00
2L_4b_gen	0.67382572	-0.98294465	0.73506222	4	0.79537529	-0.29874873	0.79485033	-0.299825	1.3	1	0.32958871	0.36655437	0.32979215	0.36670678	0.91077899	-0.98294465	nan	nan	nan	nan	nan	0.97728953	-0.66967498	nan	nan	nan	nan	-5.0228975	R0:N6:S0:1	0.97728953	20a4d9d	v2.1.5	0.67382572	general_bath_1D.py	2023-07-26@11:01
2L_4b_gen	0.56021611	-0.99516371	0.36064555	4	0.52442348	-0.24541767	0.53755299	-0.24621495	1.3	1	0.2930647	0.34650054	0.29463386	0.34722291	0.92979499	-0.99516371	nan	nan	nan	nan	nan	0.97126654	-0.66228583	nan	nan	nan	nan	-4.8147691	R0:N6:S0:1	0.97126654	20a4d9d	v2.1.5	0.56021611	general_bath_1D.py	2023-07-26@11:01
2L_4b_gen	0.64324324	-0.97631209	0.83845838	4	0.66367485	-0.28299629	0.66489751	-0.28422218	1.3	1	0.31509421	0.36069521	0.31545892	0.36096052	0.92067667	-0.97631209	nan	nan	nan	nan	nan	0.9795308	-0.6561672	nan	nan	nan	nan	-4.9700689	R0:N6:S0:1	0.9795308	20a4d9d	v2.1.5	0.64324324	general_bath_1D.py	2023-07-26@11:02
2L_4b_gen	0.57389516	-0.9751626	1.9793592	4	0.58840414	-0.25265551	0.59973842	-0.25374426	1.3	1	0.29769742	0.3529703	0.29900332	0.35366561	0.91346293	-0.9751626	nan	nan	nan	nan	nan	0.95686664	-0.64408572	nan	nan	nan	nan	-4.8500868	R0:N6:S0:1	0.95686664	20a4d9d	v2.1.5	0.57389516	general_bath_1D.py	2023-07-26@11:02
2L_4b_gen	0.62635083	-0.97222927	0.78952922	4	0.66371783	-0.27297048	0.66494519	-0.27320401	1.3	1	0.3298315	0.34695297	0.32997857	0.34706211	0.92744655	-0.97222927	nan	nan	nan	nan	nan	0.96600404	-0.64333155	nan	nan	nan	nan	-4.9518288	R0:N6:S0:1	0.96600404	20a4d9d	v2.1.5	0.62635083	general_bath_1D.py	2023-07-26@11:02
2L_4b_gen	0.66167621	-0.98008194	1.0322315	4	0.71670079	-0.29158321	0.71728462	-0.29208681	1.3	1	0.32664636	0.35769765	0.32679467	0.35781077	0.92384347	-0.98008194	nan	nan	nan	nan	nan	0.96607046	-0.65566556	nan	nan	nan	nan	-5.02303	R0:N6:S0:1	0.96607046	20a4d9d	v2.1.5	0.66167621	general_bath_1D.py	2023-07-26@11:03
2L_4b_gen	0.6709618	-0.97021909	0.42653846	4	0.74405586	-0.29597987	0.74456745	-0.29659941	1.3	1	0.33002566	0.35884086	0.330184	0.35897197	0.93058311	-0.97021909	nan	nan	nan	nan	nan	0.97273662	-0.65187719	nan	nan	nan	nan	-5.039511	R0:N6:S0:1	0.97273662	20a4d9d	v2.1.5	0.6709618	general_bath_1D.py	2023-07-26@11:03
2L_4b_gen	0.68839874	-0.95849683	0.68163476	4	0.76537107	-0.30554604	0.76615442	-0.3059544	1.3	1	0.32687099	0.35985882	0.32701331	0.35996464	0.96320094	-0.95849683	nan	nan	nan	nan	nan	0.95110453	-0.64625851	nan	nan	nan	nan	-5.04533	R0:N6:S0:1	0.95110453	20a4d9d	v2.1.5	0.68839874	general_bath_1D.py	2023-07-26@11:04
2L_4b_gen	0.96708973	-0.95950145	1.7806306	4	1.1255665	-0.43949497	1.1255894	-0.43947485	1.3	1	0.37158383	0.38376453	0.37158087	0.38376066	0.98465244	-0.95950145	nan	nan	nan	nan	nan	0.97532302	-0.66104466	nan	nan	nan	nan	-5.6153781	R0:N6:S0:1	0.97532302	20a4d9d	v2.1.5	0.96708973	general_bath_1D.py	2023-07-26@11:04
2L_4b_gen	1.3145965	-0.96141388	1.0830214	4	1.5185899	-0.60412613	1.5185155	-0.60414036	1.3	1	0.41053489	0.42874883	0.41052165	0.42875041	0.9332783	-0.96141388	nan	nan	nan	nan	nan	0.99114464	-0.66978408	nan	nan	nan	nan	-6.3018002	R0:N6:S0:1	0.99114464	20a4d9d	v2.1.5	1.3145965	general_bath_1D.py	2023-07-26@11:04
2L_4b_gen	0.75134324	-0.96983301	1.3813499	4	1.0039563	-0.33922584	1.0041188	-0.33979017	1.3	1	0.33622191	0.37929177	0.33636401	0.37938898	0.93255509	-0.96983301	nan	nan	nan	nan	nan	0.98986693	-0.66940647	nan	nan	nan	nan	-5.200194	R0:N6:S0:1	0.98986693	20a4d9d	v2.1.5	0.75134324	general_bath_1D.py	2023-07-26@11:05
2L_4b_gen	0.71522962	-0.96851819	1.0649338	4	0.86075224	-0.31961599	0.86202878	-0.32011997	1.3	1	0.32608917	0.37200462	0.32629002	0.37213832	0.94956273	-0.96851819	nan	nan	nan	nan	nan	0.9787354	-0.65966448	nan	nan	nan	nan	-5.1236718	R0:N6:S0:1	0.9787354	20a4d9d	v2.1.5	0.71522962	general_bath_1D.py	2023-07-26@11:05
2L_4b_gen	0.80885436	-0.99295361	0.82321722	4	0.99936457	-0.36548398	0.99837624	-0.36543936	1.3	1	0.34593243	0.38036857	0.34586274	0.38031156	0.921195	-0.99295361	nan	nan	nan	nan	nan	0.97927979	-0.68476396	nan	nan	nan	nan	-5.3114605	R0:N6:S0:1	0.97927979	20a4d9d	v2.1.5	0.80885436	general_bath_1D.py	2023-07-26@11:06
2L_4b_gen	0.8120124	-0.96590198	1.3479547	4	0.99936457	-0.36548398	0.99837624	-0.36543936	1.4	1	0.34593243	0.38036857	0.34586274	0.38031156	0.95672082	-0.96590198	nan	nan	nan	nan	nan	0.99219996	-0.66382933	nan	nan	nan	nan	-5.5127659	R0:N6:S0:1	0.99219996	20a4d9d	v2.1.5	0.8120124	general_bath_1D.py	2023-07-26@11:06
2L_4b_gen	0.7582026	-0.97671572	2.8716462	4	0.9709587	-0.34329332	0.97024087	-0.34335821	1.4	1	0.33558103	0.37199023	0.33555399	0.37196864	0.9549216	-0.97671572	nan	nan	nan	nan	nan	0.99941383	-0.67486216	nan	nan	nan	nan	-5.3820284	R0:N6:S0:1	0.99941383	20a4d9d	v2.1.5	0.7582026	general_bath_1D.py	2023-07-26@11:06
2L_4b_gen	0.75126321	-0.96884928	2.7965407	4	0.97560562	-0.33738236	0.97468821	-0.33763602	1.4	1	0.33563906	0.37713283	0.3356541	0.3771309	0.99732741	-0.96884928	nan	nan	nan	nan	nan	0.98867554	-0.66789884	nan	nan	nan	nan	-5.3877334	R0:N6:S0:1	0.98867554	20a4d9d	v2.1.5	0.75126321	general_bath_1D.py	2023-07-26@11:07
2L_4b_gen	0.92936452	-0.97326735	2.0681722	4	1.1448476	-0.42340908	1.1446851	-0.42333428	1.4	1	0.35938208	0.3879652	0.35936053	0.3879521	1.0035636	-0.97326735	nan	nan	nan	nan	nan	0.99573427	-0.67404344	nan	nan	nan	nan	-5.7438494	R0:N6:S0:1	0.99573427	20a4d9d	v2.1.5	0.92936452	general_bath_1D.py	2023-07-26@11:07
2L_4b_gen	0.96458488	-0.98933034	0.52667009	4	1.2149882	-0.43922835	1.2150012	-0.4391628	1.4	1	0.36513975	0.39712427	0.36513055	0.39711448	0.96080822	-0.98933034	nan	nan	nan	nan	nan	0.99467407	-0.6923045	nan	nan	nan	nan	-5.8055394	R0:N6:S0:1	0.99467407	20a4d9d	v2.1.5	0.96458488	general_bath_1D.py	2023-07-26@11:07
2L_4b_gen	0.80816332	-0.98042631	0.10235411	4	1.0826517	-0.36554698	1.081617	-0.36548197	1.4	1	0.34707003	0.38009874	0.34699868	0.38004975	0.9921608	-0.98042631	nan	nan	nan	nan	nan	0.98627777	-0.6798297	nan	nan	nan	nan	-5.4967945	R0:N6:S0:1	0.98627777	20a4d9d	v2.1.5	0.80816332	general_bath_1D.py	2023-07-26@11:08
2L_4b_gen	0.88551071	-0.97698867	2.285447	4	1.1397664	-0.40120347	1.139718	-0.40106246	1.4	1	0.36190033	0.38344207	0.3618648	0.38341961	0.99823617	-0.97698867	nan	nan	nan	nan	nan	0.99047045	-0.67554582	nan	nan	nan	nan	-5.6571998	R0:N6:S0:1	0.99047045	20a4d9d	v2.1.5	0.88551071	general_bath_1D.py	2023-07-26@11:08
2L_4b_gen	0.90450803	-0.95856737	2.1340651	4	1.172329	-0.40923424	1.1723545	-0.40912114	1.4	1	0.36279873	0.39136116	0.36277566	0.39134284	0.99433399	-0.95856737	nan	nan	nan	nan	nan	0.98862371	-0.66146336	nan	nan	nan	nan	-5.6922007	R0:N6:S0:1	0.98862371	20a4d9d	v2.1.5	0.90450803	general_bath_1D.py	2023-07-26@11:09
2L_4b_gen	0.91690314	-0.97984505	0.15508852	4	1.1823104	-0.41793492	1.182349	-0.41787341	1.4	1	0.3618781	0.38602448	0.36187075	0.3860155	0.9681881	-0.97984505	nan	nan	nan	nan	nan	0.99747824	-0.68738026	nan	nan	nan	nan	-5.713621	R0:N6:S0:1	0.99747824	20a4d9d	v2.1.5	0.91690314	general_bath_1D.py	2023-07-26@11:09
2L_4b_gen	0.81623128	-0.97899037	0.72702691	4	1.0871309	-0.37192965	1.0862543	-0.37184974	1.4	1	0.34146102	0.38038727	0.34139487	0.38034197	0.9576108	-0.97899037	nan	nan	nan	nan	nan	0.99109274	-0.68303976	nan	nan	nan	nan	-5.4980896	R0:N6:S0:1	0.99109274	20a4d9d	v2.1.5	0.81623128	general_bath_1D.py	2023-07-26@11:09
2L_4b_gen	0.79145029	-0.96408319	1.2206278	4	1.0617496	-0.35784228	1.060332	-0.35772734	1.4	1	0.34541159	0.37643461	0.34530827	0.3763587	0.98040619	-0.96408319	nan	nan	nan	nan	nan	0.99160146	-0.66588426	nan	nan	nan	nan	-5.4684185	R0:N6:S0:1	0.99160146	20a4d9d	v2.1.5	0.79145029	general_bath_1D.py	2023-07-26@11:10
2L_4b_gen	0.86176401	-0.96767998	0.4474138	4	1.0350268	-0.39221515	1.0346944	-0.39210013	1.4	1	0.34499038	0.38059941	0.34495234	0.38057124	0.99826518	-0.96767998	nan	nan	nan	nan	nan	0.99000479	-0.67026215	nan	nan	nan	nan	-5.6101038	R0:N6:S0:1	0.99000479	20a4d9d	v2.1.5	0.86176401	general_bath_1D.py	2023-07-26@11:10
2L_4b_gen	1.0365002	-0.96555552	1.3638052	4	1.2738292	-0.47457103	1.2739214	-0.4745571	1.4	1	0.37326929	0.39825017	0.37327239	0.39824892	0.99451076	-0.96555552	nan	nan	nan	nan	nan	0.99010144	-0.67070769	nan	nan	nan	nan	-5.9569285	R0:N6:S0:1	0.99010144	20a4d9d	v2.1.5	1.0365002	general_bath_1D.py	2023-07-26@11:11
2L_4b_gen	1.0393617	-0.96400652	0.79425787	4	1.2933853	-0.47569491	1.2934329	-0.47567764	1.4	1	0.37645786	0.39905349	0.37646291	0.39905614	0.95579387	-0.96400652	nan	nan	nan	nan	nan	0.9927335	-0.67087174	nan	nan	nan	nan	-5.9595516	R0:N6:S0:1	0.9927335	20a4d9d	v2.1.5	1.0393617	general_bath_1D.py	2023-07-26@11:11
2L_4b_gen	0.765333	-0.9603974	0.026330954	4	0.97857766	-0.34753235	0.97796777	-0.34756088	1.4	1	0.3354308	0.36832298	0.33540479	0.36830347	1.0021752	-0.9603974	nan	nan	nan	nan	nan	0.99166227	-0.6650953	nan	nan	nan	nan	-5.4133034	R0:N6:S0:1	0.99166227	20a4d9d	v2.1.5	0.765333	general_bath_1D.py	2023-07-26@11:11
2L_4b_gen	0.93743805	-0.96032467	0.87429541	4	1.1867844	-0.42904775	1.1866524	-0.42899519	1.4	1	0.35767864	0.38820886	0.35765042	0.38820042	1.0026422	-0.96032467	nan	nan	nan	nan	nan	0.99580706	-0.66595811	nan	nan	nan	nan	-5.7552367	R0:N6:S0:1	0.99580706	20a4d9d	v2.1.5	0.93743805	general_bath_1D.py	2023-07-26@11:12
2L_4b_gen	0.9243826	-0.9651495	2.2795786	4	1.2022596	-0.42074029	1.202238	-0.42066955	1.4	1	0.36082102	0.39191672	0.36080344	0.39190493	0.99863068	-0.9651495	nan	nan	nan	nan	nan	0.99180759	-0.6713	nan	nan	nan	nan	-5.7209277	R0:N6:S0:1	0.99180759	20a4d9d	v2.1.5	0.9243826	general_bath_1D.py	2023-07-26@11:12
2L_4b_gen	0.9243826	-0.9651495	2.2795786	4	1.2022596	-0.42074029	1.202238	-0.42066955	1.4	1	0.36082102	0.39191672	0.36080344	0.39190493	0.99863068	-0.9651495	nan	nan	nan	nan	nan	0.99180759	-0.6713	nan	nan	nan	nan	-5.7209277	R0:N6:S0:1	0.99180759	20a4d9d	v2.1.5	0.9243826	general_bath_1D.py	2023-07-26@11:12
2L_4b_gen	0.91331743	-0.97110021	1.8535504	4	1.2066807	-0.41668462	1.2065455	-0.41657503	1.5	1	0.3597084	0.38911966	0.35967364	0.38909655	0.99468606	-0.97110021	nan	nan	nan	nan	nan	0.99422801	-0.67555648	nan	nan	nan	nan	-5.9129562	R0:N6:S0:1	0.99422801	20a4d9d	v2.1.5	0.91331743	general_bath_1D.py	2023-07-26@11:13
2L_4b_gen	1.2287249	-0.98557595	-1.7792899	4	1.3628907	-0.56582465	1.3628556	-0.56583215	1.5	1	0.39539623	0.40825763	0.39539324	0.4082563	1.0019547	-0.98557595	nan	nan	nan	nan	nan	0.99871513	-0.69134123	nan	nan	nan	nan	-6.5362782	R0:N6:S0:1	0.99871513	20a4d9d	v2.1.5	1.2287249	general_bath_1D.py	2023-07-26@11:13
2L_4b_gen	1.158062	-0.97044944	1.5328783	4	1.3450247	-0.53283338	1.3450016	-0.53282078	1.5	1	0.3871814	0.4041077	0.38717284	0.40410467	0.99723537	-0.97044944	nan	nan	nan	nan	nan	0.99542835	-0.67881807	nan	nan	nan	nan	-6.3991434	R0:N6:S0:1	0.99542835	20a4d9d	v2.1.5	1.158062	general_bath_1D.py	2023-07-26@11:13
2L_4b_gen	1.2107002	-0.99115826	0.95426827	4	1.3764266	-0.55892681	1.3764848	-0.55891644	1.5	1	0.39161044	0.40527994	0.39161837	0.40527714	0.99940913	-0.99115826	nan	nan	nan	nan	nan	0.99540509	-0.69855317	nan	nan	nan	nan	-6.4887755	R0:N6:S0:1	0.99540509	20a4d9d	v2.1.5	1.2107002	general_bath_1D.py	2023-07-26@11:14
