model     	omega     	E_kin       	E_pot       	U 	eb1_1     	eb2_1       	eb3_1     	eb4_1       	mu 	t 	tb1_1      	tb2_1      	tb3_1      	tb4_1      	ave_mu     	ave_t       	ave_U_1 	ave_eb1_1 	ave_eb2_1 	ave_eb3_1 	ave_eb4_1 	ave_mu_1   	ave_t_1     	ave_tb1_1 	ave_tb2_1 	ave_tb3_1 	ave_tb4_1 	E0_1       	sector_1   	n_1        	githash 	version 	omegaH    	script             	time             	
2L_4b_gen 	1.9591258 	-0.96358094 	1.2795389   	4 	1.3133194 	-0.92430337 	1.3133423 	-0.92433447 	 2 	1 	0.42519886 	0.42648984 	0.42519751 	0.42649277 	1.0103143  	-0.96358094 	nan     	nan       	nan       	nan       	nan       	1.0128172  	-0.66857506 	nan       	nan       	nan       	nan       	-8.9854925 	R0:N6:S0:1 	1.0128172  	20a4d9d 	v2.1.5  	1.9591258 	general_bath_1D.py 	2023-07-14@12:09 
2L_4b_gen 	1.5166453 	-0.98152857 	0.41790703  	4 	1.0128136 	-0.71372207 	1.0128233 	-0.7137327  	 2 	1 	0.39380001 	0.3788277  	0.39380261 	0.37882625 	1.0018006  	-0.98152857 	nan     	nan       	nan       	nan       	nan       	1.0051353  	-0.68609533 	nan       	nan       	nan       	nan       	-8.0962454 	R0:N6:S0:1 	1.0051353  	20a4d9d 	v2.1.5  	1.5166453 	general_bath_1D.py 	2023-07-14@12:09 
2L_4b_gen 	2.1414668 	-0.97966093 	0.84537481  	4 	1.1755787 	-1.0145979  	1.1755666 	-1.0146     	 2 	1 	0.42906898 	0.42193128 	0.42906448 	0.42192783 	0.99999416 	-0.97966093 	nan     	nan       	nan       	nan       	nan       	1.0018638  	-0.68396579 	nan       	nan       	nan       	nan       	-9.3667428 	R0:N6:S0:1 	1.0018638  	20a4d9d 	v2.1.5  	2.1414668 	general_bath_1D.py 	2023-07-14@12:10 
2L_4b_gen 	2.344617  	-0.98003233 	0.64284935  	4 	1.1751294 	-1.11319    	1.1751695 	-1.1131449  	 2 	1 	0.43524654 	0.43393552 	0.43524881 	0.43392002 	0.9996867  	-0.98003233 	nan     	nan       	nan       	nan       	nan       	1.0014085  	-0.68608029 	nan       	nan       	nan       	nan       	-9.7750595 	R0:N6:S0:1 	1.0014085  	20a4d9d 	v2.1.5  	2.344617  	general_bath_1D.py 	2023-07-14@12:10 
2L_4b_gen 	2.4490505 	-0.96391656 	2.6199736   	4 	1.1440404 	-1.1662406  	1.1439328 	-1.1661278  	 2 	1 	0.43382712 	0.43486357 	0.43381103 	0.43484155 	1.0000373  	-0.96391656 	nan     	nan       	nan       	nan       	nan       	0.99966606 	-0.67254826 	nan       	nan       	nan       	nan       	-9.9779776 	R0:N6:S0:1 	0.99966606 	20a4d9d 	v2.1.5  	2.4490505 	general_bath_1D.py 	2023-07-14@12:10 
2L_4b_gen 	2.4447488 	-0.96418763 	0.87001513  	4 	1.1593783 	-1.1648488  	1.1596343 	-1.1650377  	 2 	1 	0.43297167 	0.43361629 	0.43302312 	0.4336536  	1.0011633  	-0.96418763 	nan     	nan       	nan       	nan       	nan       	1.0002694  	-0.67344845 	nan       	nan       	nan       	nan       	-9.9602749 	R0:N6:S0:1 	1.0002694  	20a4d9d 	v2.1.5  	2.4447488 	general_bath_1D.py 	2023-07-14@12:11 
2L_4b_gen 	2.3985679 	-0.96966019 	0.420212    	4 	1.183958  	-1.1416401  	1.1840179 	-1.1416912  	 2 	1 	0.43420856 	0.43303616 	0.43422055 	0.43304622 	0.9912016  	-0.96966019 	nan     	nan       	nan       	nan       	nan       	0.9925844  	-0.67776846 	nan       	nan       	nan       	nan       	-9.8759107 	R0:N6:S0:1 	0.9925844  	20a4d9d 	v2.1.5  	2.3985679 	general_bath_1D.py 	2023-07-14@12:11 
2L_4b_gen 	2.4193302 	-0.99755317 	-1.4757914  	4 	1.1583325 	-1.1516176  	1.158365  	-1.1516328  	 2 	1 	0.43710625 	0.43026015 	0.43711353 	0.43026354 	1.0057335  	-0.99755317 	nan     	nan       	nan       	nan       	nan       	1.003336   	-0.70292798 	nan       	nan       	nan       	nan       	-9.9046591 	R0:N6:S0:1 	1.003336   	20a4d9d 	v2.1.5  	2.4193302 	general_bath_1D.py 	2023-07-14@12:12 
2L_4b_gen 	2.3550985 	-0.97728681 	1.8803827   	4 	1.1988301 	-1.1182024  	1.1988789 	-1.118212   	 2 	1 	0.43637221 	0.43587707 	0.43637913 	0.43588065 	0.99504761 	-0.97728681 	nan     	nan       	nan       	nan       	nan       	0.99595872 	-0.68494877 	nan       	nan       	nan       	nan       	-9.7866019 	R0:N6:S0:1 	0.99595872 	20a4d9d 	v2.1.5  	2.3550985 	general_bath_1D.py 	2023-07-14@12:12 
2L_4b_gen 	2.4095317 	-0.96370812 	2.2169204   	4 	1.2250789 	-1.1459969  	1.2250851 	-1.1459889  	 2 	1 	0.44104652 	0.43375819 	0.44104432 	0.43375997 	0.99888032 	-0.96370812 	nan     	nan       	nan       	nan       	nan       	0.9998764  	-0.67480435 	nan       	nan       	nan       	nan       	-9.9080945 	R0:N6:S0:1 	0.9998764  	20a4d9d 	v2.1.5  	2.4095317 	general_bath_1D.py 	2023-07-14@12:13 
2L_4b_gen 	2.4751321 	-0.95283461 	2.7202866   	4 	1.1978098 	-1.1802043  	1.1977531 	-1.1801467  	 2 	1 	0.43631956 	0.4342568  	0.43630951 	0.43424481 	0.99478592 	-0.95283461 	nan     	nan       	nan       	nan       	nan       	0.99558031 	-0.6663485  	nan       	nan       	nan       	nan       	-10.028718 	R0:N6:S0:1 	0.99558031 	20a4d9d 	v2.1.5  	2.4751321 	general_bath_1D.py 	2023-07-14@12:13 
2L_4b_gen 	2.485116  	-0.98845076 	1.6100138   	4 	1.1840335 	-1.1860166  	1.184014  	-1.1860258  	 2 	1 	0.43597269 	0.43136944 	0.43597691 	0.43136967 	1.0014118  	-0.98845076 	nan     	nan       	nan       	nan       	nan       	1.0005397  	-0.69661028 	nan       	nan       	nan       	nan       	-10.053164 	R0:N6:S0:1 	1.0005397  	20a4d9d 	v2.1.5  	2.485116  	general_bath_1D.py 	2023-07-14@12:13 
2L_4b_gen 	2.4303118 	-0.9878451  	2.0833151   	4 	1.1750905 	-1.1561243  	1.1750487 	-1.1561367  	 2 	1 	0.4364246  	0.43611874 	0.4364186  	0.43612226 	1.0031528  	-0.9878451  	nan     	nan       	nan       	nan       	nan       	1.0040014  	-0.68984417 	nan       	nan       	nan       	nan       	-9.9385667 	R0:N6:S0:1 	1.0040014  	20a4d9d 	v2.1.5  	2.4303118 	general_bath_1D.py 	2023-07-14@12:14 
2L_4b_gen 	2.23159   	-0.97565459 	2.2594273   	4 	1.012739  	-1.0592152  	1.0127811 	-1.0591865  	 2 	1 	0.41780276 	0.42444656 	0.41780772 	0.42444369 	1.0046635  	-0.97565459 	nan     	nan       	nan       	nan       	nan       	1.0036439  	-0.67832539 	nan       	nan       	nan       	nan       	-9.5446915 	R0:N6:S0:1 	1.0036439  	20a4d9d 	v2.1.5  	2.23159   	general_bath_1D.py 	2023-07-14@12:14 
2L_4b_gen 	2.3570063 	-0.99062286 	3.7059915   	4 	1.1243433 	-1.1202956  	1.1243015 	-1.1202799  	 2 	1 	0.42903155 	0.43335159 	0.429022   	0.43334951 	1.008879   	-0.99062286 	nan     	nan       	nan       	nan       	nan       	1.006858   	-0.69570937 	nan       	nan       	nan       	nan       	-9.7787331 	R0:N6:S0:1 	1.006858   	20a4d9d 	v2.1.5  	2.3570063 	general_bath_1D.py 	2023-07-14@12:15 
2L_4b_gen 	2.2881049 	-0.97507813 	0.41993036  	4 	1.1982652 	-1.0856993  	1.1983314 	-1.0856799  	 2 	1 	0.43256377 	0.43338275 	0.43257462 	0.43338882 	0.99288508 	-0.97507813 	nan     	nan       	nan       	nan       	nan       	0.99626663 	-0.68052086 	nan       	nan       	nan       	nan       	-9.6471149 	R0:N6:S0:1 	0.99626663 	20a4d9d 	v2.1.5  	2.2881049 	general_bath_1D.py 	2023-07-14@12:15 
2L_4b_gen 	2.2946642 	-0.96176283 	-0.11206747 	4 	1.0674451 	-1.091534   	1.0674442 	-1.0915443  	 2 	1 	0.42403198 	0.42310764 	0.42403348 	0.42310838 	0.99820048 	-0.96176283 	nan     	nan       	nan       	nan       	nan       	0.99765823 	-0.66814045 	nan       	nan       	nan       	nan       	-9.6727093 	R0:N6:S0:1 	0.99765823 	20a4d9d 	v2.1.5  	2.2946642 	general_bath_1D.py 	2023-07-14@12:15 
2L_4b_gen 	2.4222136 	-0.97365658 	0.96464821  	4 	1.1461856 	-1.152895   	1.1461812 	-1.1529226  	 2 	1 	0.43380073 	0.43314287 	0.43380609 	0.43314834 	0.99343766 	-0.97365658 	nan     	nan       	nan       	nan       	nan       	0.99433697 	-0.68001832 	nan       	nan       	nan       	nan       	-9.9268141 	R0:N6:S0:1 	0.99433697 	20a4d9d 	v2.1.5  	2.4222136 	general_bath_1D.py 	2023-07-14@12:16 
2L_4b_gen 	2.4357569 	-0.97130593 	1.1753432   	4 	1.1252878 	-1.1597564  	1.1253853 	-1.1598156  	 2 	1 	0.434348   	0.43094233 	0.43436355 	0.43095599 	1.0026923  	-0.97130593 	nan     	nan       	nan       	nan       	nan       	1.0007623  	-0.67875019 	nan       	nan       	nan       	nan       	-9.9427828 	R0:N6:S0:1 	1.0007623  	20a4d9d 	v2.1.5  	2.4357569 	general_bath_1D.py 	2023-07-14@12:16 
2L_4b_gen 	2.3598925 	-0.97010494 	0.86218651  	4 	1.1557676 	-1.1226021  	1.1557848 	-1.1225605  	 2 	1 	0.43112832 	0.43129097 	0.43113379 	0.43128159 	0.99696705 	-0.97010494 	nan     	nan       	nan       	nan       	nan       	0.997603   	-0.6781728  	nan       	nan       	nan       	nan       	-9.7926677 	R0:N6:S0:1 	0.997603   	20a4d9d 	v2.1.5  	2.3598925 	general_bath_1D.py 	2023-07-14@12:16 
2L_4b_gen 	2.4047469 	-0.98872121 	3.3527118   	4 	1.1623252 	-1.1447469  	1.1623135 	-1.1447703  	 2 	1 	0.43433739 	0.43151839 	0.43433579 	0.43152645 	0.9989192  	-0.98872121 	nan     	nan       	nan       	nan       	nan       	0.9994852  	-0.69417573 	nan       	nan       	nan       	nan       	-9.8909851 	R0:N6:S0:1 	0.9994852  	20a4d9d 	v2.1.5  	2.4047469 	general_bath_1D.py 	2023-07-14@12:17 
2L_4b_gen 	2.4888092 	-0.9677171  	0.3980819   	4 	1.1670135 	-1.1844375  	1.1669476 	-1.1843847  	 2 	1 	0.43851856 	0.43878885 	0.43850291 	0.43877714 	1.0040641  	-0.9677171  	nan     	nan       	nan       	nan       	nan       	1.0035347  	-0.67393506 	nan       	nan       	nan       	nan       	-10.057054 	R0:N6:S0:1 	1.0035347  	20a4d9d 	v2.1.5  	2.4888092 	general_bath_1D.py 	2023-07-14@12:17 
2L_4b_gen 	2.4257066 	-0.98817737 	1.8316885   	4 	1.156521  	-1.1542975  	1.1565289 	-1.1543138  	 2 	1 	0.43387815 	0.43537931 	0.43388225 	0.43538356 	1.0049769  	-0.98817737 	nan     	nan       	nan       	nan       	nan       	1.0044075  	-0.6937739  	nan       	nan       	nan       	nan       	-9.9267549 	R0:N6:S0:1 	1.0044075  	20a4d9d 	v2.1.5  	2.4257066 	general_bath_1D.py 	2023-07-14@12:18 
2L_4b_gen 	2.4211196 	-0.96875879 	0.83543722  	4 	1.1733053 	-1.1511733  	1.1733044 	-1.1512104  	 2 	1 	0.43511766 	0.43792739 	0.43512488 	0.43792905 	1.0025147  	-0.96875879 	nan     	nan       	nan       	nan       	nan       	1.0024706  	-0.67534558 	nan       	nan       	nan       	nan       	-9.922455  	R0:N6:S0:1 	1.0024706  	20a4d9d 	v2.1.5  	2.4211196 	general_bath_1D.py 	2023-07-14@12:18 
2L_4b_gen 	2.3994888 	-0.97356502 	3.6525855   	4 	1.1795807 	-1.1411481  	1.179609  	-1.1412127  	 2 	1 	0.43496094 	0.43502882 	0.43497235 	0.4350421  	1.0060316  	-0.97356502 	nan     	nan       	nan       	nan       	nan       	1.005391   	-0.67890841 	nan       	nan       	nan       	nan       	-9.8614562 	R0:N6:S0:1 	1.005391   	20a4d9d 	v2.1.5  	2.3994888 	general_bath_1D.py 	2023-07-14@12:18 
2L_4b_gen 	2.3037544 	-0.98036676 	1.2995485   	4 	1.1695902 	-1.0933934  	1.169606  	-1.0934022  	 2 	1 	0.4323953  	0.43237533 	0.43239473 	0.43237745 	0.9897806  	-0.98036676 	nan     	nan       	nan       	nan       	nan       	0.99173789 	-0.68550176 	nan       	nan       	nan       	nan       	-9.6871666 	R0:N6:S0:1 	0.99173789 	20a4d9d 	v2.1.5  	2.3037544 	general_bath_1D.py 	2023-07-14@12:19 
2L_4b_gen 	2.3795894 	-0.98175738 	3.6481627   	4 	1.1670954 	-1.1311203  	1.1670772 	-1.1310964  	 2 	1 	0.43879206 	0.42986428 	0.4387899  	0.42985782 	1.0001502  	-0.98175738 	nan     	nan       	nan       	nan       	nan       	1.0003399  	-0.68467773 	nan       	nan       	nan       	nan       	-9.8413827 	R0:N6:S0:1 	1.0003399  	20a4d9d 	v2.1.5  	2.3795894 	general_bath_1D.py 	2023-07-14@12:19 
2L_4b_gen 	2.4105916 	-0.97900148 	1.3865182   	4 	1.1360606 	-1.1452727  	1.1360289 	-1.1452974  	 2 	1 	0.43538114 	0.43604929 	0.43537791 	0.43605173 	1.0033433  	-0.97900148 	nan     	nan       	nan       	nan       	nan       	1.0026325  	-0.68310406 	nan       	nan       	nan       	nan       	-9.8848256 	R0:N6:S0:1 	1.0026325  	20a4d9d 	v2.1.5  	2.4105916 	general_bath_1D.py 	2023-07-14@12:20 
2L_4b_gen 	2.3444509 	-0.97360941 	2.5990834   	4 	1.1395773 	-1.1138588  	1.1396978 	-1.1138494  	 2 	1 	0.43173701 	0.43189134 	0.43176232 	0.431895   	1.0005549  	-0.97360941 	nan     	nan       	nan       	nan       	nan       	1.0000909  	-0.68023998 	nan       	nan       	nan       	nan       	-9.7603015 	R0:N6:S0:1 	1.0000909  	20a4d9d 	v2.1.5  	2.3444509 	general_bath_1D.py 	2023-07-14@12:20 
